,class_subclass,sic
1036,424434000,9.0
1037,424434000,14.0
1038,514453000,9.0
1039,514453000,14.0
1040,250311000,55.0
1041,436149000,55.0
1042,606041000,55.0
1043,378059000,40.0
1044,623022280,55.0
1046,222001000,56.0
1047,435128000,7.0
1048,601006000,40.0
1049,422236000,29.0
1052,709246000,27.0
1053,424776000,14.0
1054,428210000,17.0
1055,381326000,55.0
1056,370312000,43.0
1057,330010000,42.0
1058,330010000,43.0
1059,423588000,6.0
1060,250206100,43.0
1061,250206100,55.0
1062,504117000,9.0
1063,208113000,15.0
1064,435458000,14.0
1065,424131100,14.0
1066,426016000,1.0
1067,359196000,55.0
1069,604118000,55.0
1070,474152000,30.0
1071,474152000,46.0
1072,112475170,38.0
1073,384477000,16.0
1074,384477000,30.0
1075,384477000,46.0
1076,514028000,9.0
1077,514028000,14.0
1078,455140000,42.0
1079,408222000,26.0
1080,709205000,27.0
1081,434273000,43.0
1082,434273000,56.0
1083,429012000,36.0
1084,530333000,7.0
1085,435221000,14.0
1086,512001000,11.0
1087,473598000,56.0
1088,250251000,43.0
1089,424472000,9.0
1090,424472000,14.0
1091,141286000,25.0
1092,141286000,29.0
1093,141286000,30.0
1094,604167010,55.0
1095,514057000,9.0
1096,514057000,14.0
1097,600233000,55.0
1098,33111600R,35.0
1099,33111600R,43.0
1100,424084000,9.0
1101,252301360,13.0
1102,340572100,43.0
1103,508464000,13.0
1104,375240010,43.0
1105,381152000,43.0
1106,427421100,56.0
1107,435070100,14.0
1109,356517000,55.0
1110,248156000,21.0
1111,709232000,27.0
1112,455121000,43.0
1114,280086750,46.0
1115,428373000,2.0
1116,428373000,8.0
1119,169064000,30.0
1122,707102000,27.0
1123,713168000,27.0
1125,424093100,14.0
1126,435252330,14.0
1128,220264000,16.0
1129,220264000,21.0
1130,514675000,9.0
1131,514675000,14.0
1132,423606000,6.0
1133,347019000,27.0
1134,514228800,9.0
1135,514228800,14.0
1136,426244000,1.0
1137,428375000,16.0
1139,435041000,14.0
1140,414729000,25.0
1141,435262500,7.0
1142,800279000,56.0
1143,382100000,27.0
1146,506007000,14.0
1147,506007000,55.0
1148,424468000,9.0
1149,424468000,14.0
1150,546339000,7.0
1151,205170000,21.0
1152,370338000,43.0
1153,210747000,30.0
1154,210747000,31.0
1155,210715000,30.0
1156,210715000,31.0
1159,446473000,56.0
1160,222321900,24.0
1161,222321900,25.0
1162,222321900,30.0
1163,222321900,31.0
1165,134034000,21.0
1166,134034000,29.0
1167,134034000,30.0
1168,134034000,31.0
1169,134034000,38.0
1170,544242000,7.0
1171,514269000,9.0
1172,514269000,14.0
1173,348745000,42.0
1174,348745000,43.0
1175,514212070,9.0
1176,514212070,14.0
1177,244118600,56.0
1178,433032000,55.0
1179,455450000,43.0
1180,198470100,25.0
1181,455550000,43.0
1182,546205000,7.0
1183,156187000,16.0
1184,156187000,17.0
1185,156187000,21.0
1186,514275000,9.0
1187,514275000,14.0
1188,602054000,55.0
1189,264629000,17.0
1190,385012000,43.0
1191,385012000,55.0
1192,426455000,1.0
1193,264115000,16.0
1194,264115000,17.0
1195,711154000,27.0
1196,435034000,14.0
1197,435034000,55.0
1198,514289000,9.0
1199,514289000,14.0
1200,257443000,43.0
1201,428195100,2.0
1202,428195100,16.0
1203,438132000,43.0
1205,709250000,27.0
1206,514287000,9.0
1207,514287000,14.0
1208,29000100E,23.0
1209,29000100E,36.0
1211,423210000,6.0
1212,717136000,27.0
1213,340010100,43.0
1214,713300000,27.0
1216,514007000,9.0
1217,514007000,14.0
1218,123090170,23.0
1219,123090170,46.0
1220,123090170,54.0
1221,530412000,7.0
1222,385039000,43.0
1223,528272000,8.0
1224,427377000,56.0
1225,435201000,7.0
1226,524588000,12.0
1227,524588000,16.0
1228,424070100,11.0
1229,713320000,27.0
1230,725151000,43.0
1231,424185100,14.0
1232,706001000,27.0
1234,725100000,43.0
1236,549029000,7.0
1237,204403010,55.0
1238,174260000,39.0
1239,174260000,43.0
1240,451548000,17.0
1241,351110000,55.0
1242,435007200,14.0
1243,435007200,55.0
1244,347100000,27.0
1245,604096010,55.0
1247,428403000,16.0
1248,524088000,12.0
1249,524088000,16.0
1252,713194000,27.0
1253,156110100,16.0
1254,424439000,9.0
1255,424439000,14.0
1256,235385000,27.0
1258,528035000,8.0
1259,104088010,56.0
1260,351041000,55.0
1262,343846000,43.0
1263,700003000,27.0
1264,700003000,55.0
1265,514280000,9.0
1266,514280000,14.0
1267,123406220,23.0
1268,123406220,46.0
1269,707002000,27.0
1270,205617000,6.0
1271,375340000,43.0
1272,438003000,43.0
1273,361685000,43.0
1274,340568200,43.0
1275,522079000,7.0
1276,435252400,14.0
1277,435001100,14.0
1278,264127000,16.0
1279,264127000,17.0
1280,713176000,27.0
1281,726032000,27.0
1282,430464000,55.0
1283,175057000,15.0
1284,320132000,36.0
1285,257402000,43.0
1286,709228000,27.0
1287,359572000,55.0
1288,438106000,43.0
1289,435232000,14.0
1290,524291000,12.0
1291,524291000,16.0
1292,525477000,8.0
1293,525477000,16.0
1294,210408000,30.0
1295,210408000,31.0
1296,424188100,14.0
1298,514365000,9.0
1299,514365000,14.0
1300,606022000,55.0
1301,438737000,43.0
1302,475331000,30.0
1303,475331000,46.0
1304,475331000,54.0
1305,313584000,39.0
1306,313584000,43.0
1307,219121490,43.0
1308,523200000,12.0
1309,523200000,16.0
1310,528499000,8.0
1311,713201000,27.0
1312,370356000,43.0
1313,705039000,27.0
1314,700166000,55.0
1315,370395520,43.0
1316,623023500,55.0
1317,700029000,27.0
1318,700029000,55.0
1319,292336300,21.0
1320,424009200,14.0
1321,362031000,39.0
1322,439700000,43.0
1323,705003000,27.0
1324,264328170,16.0
1325,264328170,17.0
1326,604528000,55.0
1327,558052000,7.0
1329,210221200,30.0
1330,210221200,31.0
1331,514437000,9.0
1332,514437000,14.0
1333,564259000,7.0
1334,600015000,55.0
1335,156230000,16.0
1336,156230000,17.0
1337,156230000,21.0
1338,324248000,35.0
1339,204192120,16.0
1340,345007000,27.0
1341,345007000,43.0
1342,417555100,30.0
1343,623023640,55.0
1344,430315000,55.0
1345,422101000,55.0
1346,257382000,43.0
1347,118669000,30.0
1348,109056000,21.0
1349,118665000,30.0
1350,424470000,9.0
1351,424470000,14.0
1352,188290000,24.0
1353,188290000,32.0
1354,188290000,46.0
1355,188290000,50.0
1356,188290000,51.0
1357,188290000,52.0
1358,188290000,54.0
1359,606151000,55.0
1360,417525000,30.0
1361,700002000,27.0
1362,700002000,55.0
1363,280047200,25.0
1364,280047200,52.0
1367,370241000,43.0
1369,424093700,14.0
1371,800009000,14.0
1372,800009000,56.0
1373,514014000,9.0
1374,514014000,14.0
1376,280011221,56.0
1377,257098000,43.0
1378,422119000,55.0
1379,301063103,21.0
1380,301063103,46.0
1381,301063103,52.0
1382,188322130,24.0
1383,188322130,32.0
1384,188322130,46.0
1385,188322130,50.0
1386,188322130,51.0
1387,188322130,52.0
1388,188322130,54.0
1389,313504000,43.0
1390,700051000,27.0
1391,700051000,55.0
1392,702187000,55.0
1393,156247000,16.0
1394,156247000,17.0
1395,156247000,21.0
1396,141083000,25.0
1397,141083000,29.0
1398,141083000,30.0
1399,424486000,9.0
1400,424486000,14.0
1401,106724000,17.0
1402,156117000,16.0
1403,264286000,16.0
1404,264286000,17.0
1405,119014070,24.0
1406,435024000,14.0
1407,435024000,55.0
1408,117068000,29.0
1409,117068000,43.0
1410,546123000,7.0
1411,419049000,21.0
1412,548120000,7.0
1413,372032000,35.0
1414,372032000,55.0
1415,449002000,56.0
1416,514547000,9.0
1417,514547000,14.0
1420,514292000,9.0
1421,514292000,14.0
1422,424269100,14.0
1423,544147000,7.0
1424,544147000,14.0
1426,382131000,27.0
1427,711203000,27.0
1428,211189000,56.0
